Program Year,CE ID,CE Name,ESC Region,Review ID,Review Date,Finding Area,Question Number,"Question
(For more details, USDA provides information on the forms referenced in this column on their Website.)"
2015 - 2016,01299,CHILDREN'S AID SOCIETY OF WEST TEXAS,9,14667,09/07/2015,1700 - Afterschool Snack,1707,a. Has the program been monitored within the first 4 weeks of operation each year?
2015 - 2016,01299,CHILDREN'S AID SOCIETY OF WEST TEXAS,9,14667,09/07/2015,300 - Meal Counting and Claiming,316,All Schools for the Review Period
2015 - 2016,01299,CHILDREN'S AID SOCIETY OF WEST TEXAS,9,14667,09/07/2015,400 - Meal Components and Quantities - Lunch,411,a. Do planned menu quantities  meet meal pattern requirements for the review period?
2015 - 2016,01283,HARRIS COUNTY JUVENILE PROBATION DEPARTMENT,4,14658,09/10/2015,1400 - Food Safety,1405,"Was the SFA's written food safety plan implemented?   If NO, explain."
2015 - 2016,01283,HARRIS COUNTY JUVENILE PROBATION DEPARTMENT,4,14658,09/10/2015,300 - Meal Counting and Claiming,314,"Is the SFA following their approved SFA-SA Agreement/application (including POS)?  If NO, explain."
2015 - 2016,01283,HARRIS COUNTY JUVENILE PROBATION DEPARTMENT,4,14658,09/10/2015,400 - Meal Components and Quantities - Breakfast,411,a. Do planned menu quantities meet meal pattern requirements for the review period?
2015 - 2016,01283,HARRIS COUNTY JUVENILE PROBATION DEPARTMENT,4,14658,09/10/2015,400 - Meal Components and Quantities - Lunch,411,a. Do planned menu quantities  meet meal pattern requirements for the review period?
2015 - 2016,01283,HARRIS COUNTY JUVENILE PROBATION DEPARTMENT,4,14658,09/10/2015,400 - Meal Components and Quantities - Lunch,402,Are the minimum daily quantity requirements met for the age/grade group being served?
2015 - 2016,01283,HARRIS COUNTY JUVENILE PROBATION DEPARTMENT,4,14658,09/10/2015,SFAs Contracting with FSMCs Review Form,4,"Does the SFA retain control of the nonprofit school food service account and overall financial responsibility for the school nutrition programs?  If NO, explain."
2015 - 2016,01398,The SAFE Alliance,13,14732,09/10/2015,300 - Meal Counting and Claiming,314,"Is the SFA following their approved SFA-SA Agreement/application (including POS)?  If NO, explain."
2015 - 2016,01398,The SAFE Alliance,13,14732,09/10/2015,500 - Offer versus Serve,502,"Is there signage explaining what constitutes a reimbursable meal to students including the requirement to select at least 1/2 cup fruit or vegetable?  If NO, explain and list the technical assistance provided."
2015 - 2016,01303,ATASCOSA COUNTY JUVENILE JUSTICE CENTER,20,14671,09/16/2015,400 - Meal Components and Quantities - Breakfast,410,"Did all reviewed meals during the review period (production records and other supporting documentation) indicate that all of the required meal components per weekly meal pattern requirements were offered and served to students? If NO, explain any errors identified and the technical assistance provided. Indicate if the violations identified were repeat violations for the SFA. Record the number of meals observed missing required meal components on the S-1, 17. Record only the number of incomplete meals claimed for reimbursement that will be subject to fiscal action in the appropriate field on S-1, 18."
2015 - 2016,01661,"Hands of Healing Residential Treatment Center, Inc.",4,14739,09/16/2015,1700 - Afterschool Snack,1706,Review production records for a minimum of 5 days from the review period.
2015 - 2016,01661,"Hands of Healing Residential Treatment Center, Inc.",4,14739,09/16/2015,400 - Meal Components and Quantities - Lunch,402,Are the minimum daily quantity requirements met for the age/grade group being served?
2015 - 2016,01661,"Hands of Healing Residential Treatment Center, Inc.",4,14739,09/16/2015,400 - Meal Components and Quantities - Lunch,411,a. Do planned menu quantities  meet meal pattern requirements for the review period?
2015 - 2016,01661,"Hands of Healing Residential Treatment Center, Inc.",4,14739,09/16/2015,800 - Civil Rights,800,What is the non-discrimination statement that is used for appropriate Program materials (please provide exact language)?
