id,timestamp,qtr,dept,weekday,group,planned_efficiency,std_min_value,work_in_progress,extra_hours,bonus,downtime,inactive_workers,style_changes,num_workers,real_efficiency
520,1/31/2015,Q5,B,Saturday,2,0.8,3.94,,1200,0,0.0,0,0,10.0,0.971866667
893,2/23/2015,Q4,A,Monday,11,0.75,11.41,826.0,2820,0,0.0,0,2,58.0,0.750293939
650,2/7/2015,Q1,A,Saturday,7,0.7,24.26,658.0,6960,0,270.0,45,0,58.0,0.662270115
1175,3/11/2015,Q2,B,Wednesday,2,0.75,3.9,,1920,0,0.0,0,0,8.0,0.819270833
403,1/24/2015,Q4,A,Saturday,10,0.75,22.52,1332.0,10080,69,0.0,0,0,56.0,0.80062987
518,1/31/2015,Q5,A,Saturday,3,0.8,22.52,1136.0,6960,113,0.0,0,0,58.0,1.000457471
1188,3/11/2015,Q2,A,Wednesday,5,0.7,26.82,992.0,6960,30,0.0,0,1,58.0,0.700556897
300,1/18/2015,Q3,B,Sunday,11,0.65,4.15,,2160,0,0.0,0,0,12.0,0.838383838
217,1/13/2015,Q2,B,Tuesday,1,0.8,3.94,,1440,0,0.0,0,0,2.0,0.951420455
851,2/19/2015,Q3,B,Thursday,10,0.8,3.94,,2400,0,0.0,0,0,10.0,0.733277778
477,1/28/2015,Q4,A,Wednesday,2,0.8,22.52,1559.0,6840,90,0.0,0,0,57.0,1.000230409
45,1/4/2015,Q1,A,Sunday,9,0.8,26.16,1278.0,7080,60,0.0,0,0,59.0,0.850569492
999,3/1/2015,Q1,A,Sunday,4,0.6,26.66,692.0,6840,23,0.0,0,0,57.0,0.600239766
1004,3/1/2015,Q1,B,Sunday,7,0.8,4.6,,3360,0,0.0,0,0,8.0,0.350416667
1085,3/5/2015,Q1,A,Thursday,7,0.8,30.1,834.0,1200,0,4.0,40,0,59.0,0.366053523
1112,3/8/2015,Q2,B,Sunday,5,0.5,3.94,,960,0,0.0,0,0,8.0,0.857916667
583,2/3/2015,Q1,B,Tuesday,1,0.8,3.94,,1200,0,0.0,0,0,10.0,0.99485
439,1/26/2015,Q4,B,Monday,4,0.75,4.3,,2160,0,0.0,0,0,12.0,0.963699495
1177,3/11/2015,Q2,B,Wednesday,1,0.75,3.94,,1920,0,0.0,0,0,8.0,0.812625
1097,3/7/2015,Q1,A,Saturday,10,0.7,21.82,1251.0,6000,30,0.0,0,0,50.0,0.700422
169,1/10/2015,Q2,B,Saturday,5,0.5,4.15,,1440,0,0.0,0,0,8.0,0.337973485
1149,3/9/2015,Q2,B,Monday,8,0.65,3.9,,0,960,0.0,0,0,8.0,0.2640625
905,2/24/2015,Q4,A,Tuesday,12,0.8,15.26,1062.0,4080,50,0.0,0,0,34.0,0.800401961
841,2/18/2015,Q3,A,Wednesday,10,0.7,19.68,1119.0,5640,0,8.0,35,1,47.0,0.303574468
485,1/28/2015,Q4,A,Wednesday,5,0.6,20.79,1045.0,6960,88,0.0,0,0,58.0,0.800534483
544,2/1/2015,Q1,A,Sunday,1,0.8,22.94,1582.0,3060,113,0.0,0,0,58.5,1.000402055
308,1/18/2015,Q3,B,Sunday,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.692045455
1127,3/8/2015,Q2,B,Sunday,6,0.6,2.9,,960,0,0.0,0,0,8.0,0.271875
286,1/17/2015,Q3,A,Saturday,8,0.8,25.9,1292.0,10170,50,0.0,0,0,56.5,0.800128721
154,1/10/2015,Q2,A,Saturday,8,0.8,25.9,1158.0,10170,60,0.0,0,0,56.5,0.850136766
929,2/25/2015,Q4,A,Wednesday,7,0.8,30.1,786.0,7080,50,0.0,0,2,59.0,0.800115819
25,1/3/2015,Q1,A,Saturday,3,0.8,28.08,913.0,6540,50,0.0,0,0,54.5,0.800322936
194,1/12/2015,Q2,B,Monday,4,0.35,4.3,,3240,0,0.0,0,0,18.0,0.942213805
967,2/28/2015,Q4,A,Saturday,12,0.8,15.26,1194.0,1700,62,0.0,0,0,34.0,0.800260821
959,2/26/2015,Q4,B,Thursday,10,0.7,2.9,,3360,0,0.0,0,0,8.0,0.410833333
1138,3/9/2015,Q2,B,Monday,4,0.75,3.94,,0,960,0.0,0,0,8.0,0.7953875
1114,3/8/2015,Q2,A,Sunday,1,0.75,26.82,1254.0,6960,65,0.0,0,0,58.0,0.85007069
443,1/26/2015,Q4,A,Monday,4,0.8,22.52,1016.0,10170,60,0.0,0,0,56.5,0.850312684
7,1/1/2015,Q1,A,Thursday,3,0.75,28.08,795.0,6900,45,0.0,0,0,57.5,0.753683478
836,2/18/2015,Q3,B,Wednesday,7,0.7,5.13,,960,0,0.0,0,0,8.0,0.671875
961,2/26/2015,Q4,A,Thursday,1,0.35,26.66,1164.0,6600,23,0.0,0,2,55.0,0.378895152
335,1/19/2015,Q3,B,Monday,11,0.7,4.15,,1440,0,0.0,0,0,8.0,0.409545455
208,1/12/2015,Q2,B,Monday,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.725
1005,3/2/2015,Q1,B,Monday,2,0.7,3.9,,1200,0,0.0,0,0,10.0,0.92885
431,1/25/2015,Q4,A,Sunday,5,0.7,20.4,1217.0,10440,50,0.0,0,0,58.0,0.700250784
405,1/24/2015,Q4,A,Saturday,3,0.75,22.52,1266.0,10260,69,0.0,0,0,57.0,0.80035194
886,2/23/2015,Q4,B,Monday,12,0.8,5.13,,1080,0,0.0,0,0,9.0,0.9025
