person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
28.0,male,Associate,72926.0,2,MORTGAGE,16800.0,DEBTCONSOLIDATION,12.61,0.23,7.0,586,Yes,0
23.0,female,Associate,72988.0,0,MORTGAGE,4500.0,MEDICAL,7.4,0.06,3.0,562,Yes,0
22.0,male,Associate,78823.0,0,MORTGAGE,4000.0,DEBTCONSOLIDATION,7.14,0.05,4.0,624,Yes,0
23.0,male,Bachelor,79971.0,0,RENT,12000.0,VENTURE,11.01,0.15,4.0,671,No,0
28.0,female,High School,80906.0,5,RENT,16000.0,VENTURE,12.18,0.2,6.0,642,Yes,0
32.0,male,Bachelor,124856.0,9,RENT,24083.0,EDUCATION,11.39,0.19,10.0,573,Yes,0
25.0,female,Associate,51493.0,2,MORTGAGE,9100.0,EDUCATION,11.01,0.18,3.0,565,Yes,0
26.0,male,Associate,241073.0,2,MORTGAGE,12000.0,MEDICAL,11.71,0.05,2.0,687,No,0
25.0,male,Bachelor,131772.0,4,MORTGAGE,16000.0,DEBTCONSOLIDATION,6.03,0.12,2.0,679,Yes,0
27.0,female,Associate,121028.0,6,RENT,14000.0,MEDICAL,10.62,0.12,8.0,592,Yes,0
28.0,female,Associate,102990.0,5,MORTGAGE,20000.0,DEBTCONSOLIDATION,9.62,0.19,5.0,539,Yes,0
32.0,male,Bachelor,96874.0,9,RENT,14000.0,HOMEIMPROVEMENT,5.42,0.14,9.0,610,Yes,0
34.0,female,Master,56531.0,11,MORTGAGE,8500.0,EDUCATION,11.01,0.15,9.0,614,No,0
31.0,female,High School,67161.0,5,RENT,10200.0,PERSONAL,13.07,0.15,6.0,700,Yes,0
24.0,female,Bachelor,97084.0,0,MORTGAGE,8000.0,EDUCATION,12.5,0.08,4.0,589,No,0
30.0,female,Associate,73270.0,10,MORTGAGE,9600.0,DEBTCONSOLIDATION,9.99,0.13,10.0,645,No,0
