ID,Hero,Skill Tier,KDA Ratio,"Pick Rate, %",Eliminations / 10min,Objective Time / 10min,Damage / 10min,Healing / 10min,Deaths / 10min,Enemies Slept / 10min,Healing Amplified / 10min,Nano Boost Assists / 10min,Damage Amplified / 10min,Players Resurrected / 10min,Final Blows / 10min,Magnetic Grenade Attaches,Swift Strike Resets / 10min,Damage Reflected / 10min,Ultimates Reflected / 10min,Effects Cleansed / 10min,Kitsune Rush Assists / 10min,"Ally Coalescence Efficiency, %","Enemy Coalescence Efficiency, %",Objective Contest Time / 10min,Recon Assists / 10min,Transcendence Healing / 10min,Knockbacks / 10min,Sound Barriers / 10min,Direct Hits,Enemies Trapped / 10min,Self Healing / 10min,Low Health Recalls / 10min,Pulse Bombs Stuck / 10min,"Average Energy, %",Deaths Prevented / 10min,Amp Matrix Assists / 10min,"Airtime, %",Overhealth / 10min,Inspire Uptime,Enemies Frozen / 10min,Enemies Hacked / 10min,Low Health Teleports / 10min,Average Damage Multiplier,Players Teleported / 10min,"Wound Uptime, %",Role,Life Grip Saves / 10min,Total Kills,"Average Accuracy, %",Win Rate Classification
176,Junker Queen,Grandmaster,3.26,1.39,16.18,129,9093,,7.97,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,,,,,,,19.0,Tank,,16.59,35.5,Low
1157,Mei,Master,3.76,3.35,17.75,81,7215,,7.1,,,,,,7.74,,,,,,,,,,,,,,,,995.94,,,,,,,,,3.24,,,,,,Damage,,11.74,31.666666666666668,High
765,Zarya,Bronze,3.88,1.09,17.83,140,8793,,6.38,,,,,,,,,,,,,,,80.0,,,,,,,,,,29.77,,,,,,,,,,,,Tank,,20.9,41.0,Low
551,Ashe,Platinum,2.74,2.39,17.09,50,8725,,7.44,,,,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,17.94,41.0,Low
1104,Bastion,Grandmaster,2.75,1.51,18.66,57,9998,,8.16,,,,,,9.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,35.13,26.0,Low
315,Sojourn,Bronze,2.37,3.05,15.52,61,7236,,8.87,,,,,,6.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,21.17,28.333333333333332,Low
337,Moira,Silver,6.01,5.32,17.19,90,5168,8993.0,6.45,,,,,,,,,,,,,44.0,67.0,,,,,,,,,,,,,,,,,,,,,,,Support,,20.06,48.0,Low
853,Roadhog,Master,3.94,3.25,18.4,81,7001,,6.7,,,,,,,,,,,,,,,70.0,,,,,,,4356.55,,,,,,,,,,,,,,,Tank,,19.64,38.17,Low
37,Ana,Grandmaster,4.01,19.04,8.96,57,2712,8641.0,5.8,5.02,408.47,2.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Support,,7.71,59.0,High
95,Ramattra,Diamond,3.78,2.51,19.5,121,9686,,6.58,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,Tank,,32.32,42.0,High
82,Cassidy,Diamond,2.5,10.21,18.6,54,8967,,8.01,,,,,,11.5,61.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Damage,,16.259999999999998,25.0,High
1158,Kiriko,Gold,4.72,4.3,7.8,72,2246,8616.0,5.94,,,,,,,,,,,5.07,18.11,,,,,,,,,,,,,,,,,,,,,,,,,Support,,11.34,22.0,Low
691,Sigma,Grandmaster,4.73,2.47,18.04,148,10456,,5.2,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,1386.46,,,,,,,,Tank,,17.41,52.0,High
